filename,center_x_mm,center_y_mm,semi_axes_a_mm,semi_axes_b_mm,angle_rad
000_HC.png,93.253996297314,64.8191967784706,55.14787358267215,41.128128700122005,3.137890859674583
000_HC.png,93.3845569867251,64.78001921452194,53.01349890091191,39.98253944571797,3.12526547873679
001_HC.png,29.98707442122356,21.42398753681628,12.275935403614536,10.433661981648834,3.130502185546267
001_HC.png,30.021857467437915,21.36066529989242,11.621856275182083,10.079788877948632,3.0983329306328184
002_HC.png,60.61440028703976,42.016332363277,38.8881707102296,29.03980998915292,0.04441380381536046
002_HC.png,60.72510329737078,42.05010590668749,37.82451583915287,28.400111650763883,0.032824259383553635
003_HC.png,34.81549475722553,27.227664120696517,31.276386247462394,22.759054714577506,3.0861919786973107
003_HC.png,34.7303885308691,27.2989454163251,30.487604028214108,22.475049156734794,3.0880523298767857
004_HC.png,81.67695906739425,58.071510332218985,59.10910786332233,42.475709434431224,0.04305865429467364
004_HC.png,81.87375629639459,57.953754107428644,60.74481050599241,43.19649810640089,0.04867885630112236
005_HC.png,49.359224833521765,28.47720642198885,30.42604106605727,23.397672720551522,3.061720857230845
005_HC.png,49.4385286996706,28.45298794000959,29.891845665575985,22.986898635600202,3.0556728183952755
006_HC.png,55.56336904397464,35.791853600005645,37.18733121405779,27.909885081109895,3.1393188466510837
006_HC.png,55.599332784542554,35.78639866557498,36.31333850490924,27.4313868515203,3.137108955578536
007_HC.png,58.24163014331756,38.8681902820398,36.06813992379504,28.328671901654015,0.12415097738120492
007_HC.png,58.308544605290784,38.85164321741231,35.233714853932966,27.92160244069069,0.1293265646436649
008_HC.png,49.2203546463317,39.34334763946475,20.792855118116318,12.991575357917169,0.3869385311028283
008_HC.png,49.38786329087753,39.34202716207225,18.740209301189598,12.207397917893585,0.37788724550597597
009_HC.png,136.87247354919432,99.69544530805315,59.2704650561957,45.34496229106841,2.714591391260576
009_HC.png,136.73758189066768,100.05235878637069,63.06101533280473,47.94069329423543,2.754171424539388
010_HC.png,44.69334865895614,30.95849145792852,31.924956413252943,23.649878171917187,3.1191117124059438
010_HC.png,44.799338909224346,30.985277485406876,31.2557500697599,23.232071686188064,3.1154581217064643
011_HC.png,52.53988677678571,37.991017709192334,33.6709723778323,25.343758558066344,3.1413855928150394
011_HC.png,52.66667079401331,37.93537811573795,32.7303503628947,24.848262006239022,3.140462541181218
012_HC.png,100.46468836454262,89.06098807329536,40.31058583384096,32.272949748896245,0.4665004686689455
012_HC.png,100.06156064898352,88.51995347946763,37.6019067576277,30.869057230801573,0.47037789805804636
013_HC.png,43.09063324715647,34.95956413908138,30.335512064199705,23.081440179437372,0.0851465863720134
013_HC.png,43.14619189244263,34.903262078930425,29.70265886480471,22.620122216188967,0.08021214834626009
